,description,location,retweetcount,text,date,hashtags
10,Shivam fan Boom 💥 Baam,,6,"@altbalaji @iPoonampandey Can somebody stop with this bloody sympathy game for payal and promoting her nonsense. This lady wished depression for #MunawarFaruqui, death for #AnjaliArora #PrinceNarula and #shivamsharma. And she called #ZeeshanKhan a terrorist.",2022-04-30 16:41:49+00:00,[]
11,"Hetero, non-terf, cat person","Chicago, IL",0,@FairieNamedMars manic depression,2022-04-30 16:41:50+00:00,[]
12,"ex-jw, asatru, anti-authoritarian, twitch streamer of rpg and adventure games, and boob lover.  

*Patron god- Tyr*

Join my discord- https://t.co/vG9GwS7mMo","Lincoln, NE",0,"@RyanMarino @elonmusk @pmarca Like the ones that are government funded cropping up in my state to use psylocin to treat chronic depression, ptsd, and addiction?

Ok done. They exist.",2022-04-30 16:41:50+00:00,[]
13,,,127,"@gate_io @talkmada @Marvin_Inu @elonmusk This question can turn into depression for those who ignored $Marvin during its early stage. Its not pleasant to miss life changing opportunities.

We aim to build Marvin in a way that will offer a lot back to its community rather than just offering a positive price action.",2022-04-30 16:41:50+00:00,[]
14,"Jeremy W. Kaufmann - #virtualreality and indie game dev, comics writer, electronic musician! Space age Cecil Harvey.  he/him  https://t.co/5HHZOZ1bBP","Berkeley, CA",3,People who have never experienced depression sure do love to tell actual depression patients all about how to cure depression.,2022-04-30 16:41:51+00:00,[]
15,BLM // he/him instagram @ stxrligxtt,suffering ,3544,"Acid &amp; shrooms recently brought me out of the worst depression of my life. I feel like my brain switched channels and I’m curious again, I’m reading again, I’m leaving my house everyday. The world feels beautiful again finally &amp; I fucking missed it",2022-04-30 16:41:52+00:00,[]
16,"Ret'd flight surgeon, ret'd FOB Doc, ret'd ER and FP doc ,veteran ( Afghanistan) triathlete , ret'd physician , human rights adv🥰ocate",,1,@AynRandPaulRyan @elonmusk @pmarca SSRIs increase suicide risk when initiated They can increase agitation and induce hypomania in bipolar depression.  All antidepressants can increase suicide risk early stages  if energy returns before mood recovers Untreated depression is much worse and Adderall not a treatment,2022-04-30 16:41:52+00:00,[]
17,Shivam fan Boom 💥 Baam,,11,"@altbalaji @LockuppGame Can somebody stop with this bloody sympathy game for payal. This lady wished depression for #MunawarFaruqui, death for #AnjaliArora #PrinceNarula and #shivamsharma. And she called #ZeeshanKhan a terrorist. When will @altbalaji @EktaaRKapoor and #KanganaRanaut discuss this?",2022-04-30 16:41:53+00:00,[]
18,Pediatric heart failure and transplant cardiologist. VAD enthusiast. Clinical trial PI. Vaccine advocate. Youth football coach. Opinions are my own. #Aztec4Life,,489,"@elonmusk @pmarca Hey Elon, I'm a suicidologist, psychiatrist, and and psychopharmacologist. I have expertise in every aspect of this tweet. You are absolutely off base here and your uninformed opinions here are against the evidence.

Demonstrate the ability to learn.

https://t.co/QnRIcjEUgk",2022-04-30 16:41:54+00:00,[]
19,ʲᵉ ˢᵘⁱˢ ᵐᵒⁿ ˢᵒⁱ ˢᵘᵖᵉ́ʳⁱᵉᵘʳ🦂,12th dimension,0,"""Shake what your mama gave ya""

Rage and depression-",2022-04-30 16:41:55+00:00,[]
20,"Osasuna & Chicago Bulls enjoyer. Genio, millonario, playboy y filántropo. Crypto investor. Saint Seiya & Linkin Park. En mis ratos libres soy Troy Bolton.",Spain,55,"Ummm are we seeing this right now?! I just put the 1929 Great Depression DJI fractal next to current era DJI

Wow this lines up w/ @DaveHcontrarian melt up into a blow off top by roughly end of year, which is also confluence w/ what @TechDev_52 and I believe to be #bitcoin’s peak https://t.co/sVMs2LyE6Y",2022-04-30 16:41:55+00:00,[]
21,"If you ain't got anything nice to say, say it on Twitter?",Mississippi,0,"@SpiritBen WOW. 
1. I thought as a society we were trying to end the stigma associated with depression. An athlete’s takeaway would be I better not talk about it.
2. Did he also report on why Liberty’s QB was picked so late?",2022-04-30 16:41:59+00:00,[]
22,"#NICK: “why are we like this?” ✿ kokonui protector ♡ 17 | white | mainly tr, vnc and heartstopper | edits: @rubysmediaa | carrd byf | m/w @1EYDI 💖","he/they/nya/star/vae/vamp/moon/sun/lu/storm/fang/death
(she if close)",0,WAIT WAIT THE DEPRESSION https://t.co/s8D48dOqZZ,2022-04-30 16:42:00+00:00,[]
23,,,5120,"Elon Musk could have put that $44billion towards tackling world poverty, instead he's used it to send millions of woke Liberal narcissists into a spiral of depression, and honestly I think it's money well spent.",2022-04-30 16:42:01+00:00,[]
24,#ChronicPain Survivor #RapeSurvivor #PTSD #NotAllWoundsAreVisable #SuicidePrevention #FightForYourLife #YouAreWorthIt,"Texas, USA",7,"Let's talk about opioids and correct some propaganda put out by the 'walking dead' PROP physicians. Opioids are related to our natural analgesics (enkephalins &amp; endorphins).
Opioids don't do damage to our liver, kidney, or other major organs. Respiratory depression is the major",2022-04-30 16:42:03+00:00,[]
25,🔸 This account is only used to find out the latest information  🔸,Google Server,99,Food #Medicine. Foods high in #vitaminC could reduce risk of #strokes and #cancer: https://t.co/ybOGho5vdK #depression #stress #diabetes https://t.co/cwlFGiwLar,2022-04-30 16:42:04+00:00,"['Medicine', 'vitaminC', 'strokes', 'cancer', 'depression']"
26,#Arsenal #STARBOY #STONER #MUSLIM #Cancer,#STONERNATION ,354,"Allah is greater than your trials, storms, depression, doubts, worries, fears, addictions. He is greater than it all.",2022-04-30 16:42:05+00:00,[]
27,Fast talker. Addicted to barbecue potato chips. Strong advocate for black mediocrity.,"Dallas, TX",0,"im wearing jeans on the weekend, seasonal depression really over",2022-04-30 16:42:05+00:00,[]
28,"Medical Technologist/Instructor, #Patriot, ANGRY w/ Trump & Rs undermining our democracy and Constitution! #PutinsPuppet #Traitors VOTE THEM ALL OUT!",,438,Wellbutrin (Bupropion) is trending bc Elon Musk said it causes suicide and should be taken off the market. That tweet should have a disinformation warning. Wellbutrin is an established protocol for depression and has saved millions of lives. Don't take medical advice from randos.,2022-04-30 16:42:06+00:00,[]
29,pro EU after years of operating in Export Sales. Seriously concerned that our current Government are out of their depth or malign on so much of importance,"East, England",4,"Nobody needs to be homeless in the UK, you have to be diagnosed vulnerable and at risk, by a GP to qualify for emergency housing. 

(Example: Certificated for depression and prescribed antidepressants) https://t.co/x46zf4NLZf",2022-04-30 16:42:07+00:00,[]
30,"Kevin Hill. 20 year SQL DBA. Christian, political moderate, husband, father, cyclist, speaker. 
@Dallas_DBAs, https://t.co/c6BYzpuPET","DFW, Texas",0,"@vickyharp Thank you for this :)

I've had to deal with depression (mixed with a healthy dose of Aspergers) for decades...starting in college.

Never seen a professional, as I have people around me ready to yank me back when I start spiraling :)",2022-04-30 16:42:08+00:00,[]
31,‘Never underestimate Joe’s ability to fuck things up.’ - Barack Hussein Obama,USA,0,@AmieWohrer I have heard it described as preventing depression by assuring that you don’t care about anything enough to be depressed.,2022-04-30 16:42:08+00:00,[]
32,ความบันเทิง,,2795,"Thoughts on the photo gallery feature? Make sure to download your exclusive in-app photos!

https://t.co/PiC0qiF31e

#JAYB_Mindset #JAYB https://t.co/ExuL85mI9G",2022-04-30 16:42:10+00:00,[]
33,,pontianak/ Bandiklat,11,"Based on the feel of things, it appears that we are in the ""Depression Stage"" of this cycle.

Since April 2021, it has been a downhill trend for 90% of alts out there.  Most alts are down 70% from ATH currently.

April 2021 to April 2022 = 1 year bear market already https://t.co/m0a3vPlVaj",2022-04-30 16:42:11+00:00,[]
34,,Lagos,181,"Schools should have mental health classes where you learn about depression, anxiety, mood swings, eating disorders, other mental disorders, and social ethics. 

And learn good coping skills to get help. Things you need later on in life.",2022-04-30 16:42:11+00:00,[]
35,Shivam fan Boom 💥 Baam,,21,"@altbalaji @LockuppGame Can somebody stop with this bloody sympathy game for payal. This lady wished depression for #MunawarFaruqui, death for #AnjaliArora #PrinceNarula and #shivamsharma. And she called #ZeeshanKhan a terrorist. When will @altbalaji @EktaaRKapoor and #KanganaRanaut discuss this?",2022-04-30 16:42:11+00:00,[]
36,"Stop comparing yourself to other people, just choose to be happy and live your own life.",MONEY MIRACLES ARE A MYTH? ➤,1,@AynRandPaulRyan @elonmusk @pmarca SSRIs increase suicide risk when initiated They can increase agitation and induce hypomania in bipolar depression.  All antidepressants can increase suicide risk early stages  if energy returns before mood recovers Untreated depression is much worse and Adderall not a treatment,2022-04-30 16:42:18+00:00,[]
37,#MensHealth / Former Fam Med Duke U / Toronto via Northern Ont /Tweets not Medical advice- unless it's Medical Advice /#BLM/ #GoJays/ #Hurricanes/ #Ukraine ❤️,"Toronto, Ontario",162,"Elon Musk is not a psychiatrist. Wellbutrin has helped many with depression and some with ADHD, and Adderall very effective in ADHD. Millions have the story of ""it helped me,"" and in a meta-analysis of RCTs, bupropion did not increase suicidality.

https://t.co/QnRIcjEUgk https://t.co/vkit1z0KOP",2022-04-30 16:42:23+00:00,[]
38,"FAN ACCOUNT. 25 🎂OT7, Seokjin biased, Jimin/JK wrecked.
Art Acc: @PurpleYouPaints          

 💜⟬⟭ 2019•5•01 ⟬⟭💜
  
                                     
†",United States,0,I need to get over my wave of depression that's come up again cause tomorrow is my army anniversary and I wanna be happy for it 😞,2022-04-30 16:42:23+00:00,[]
39,"Married, love my two rescue dogs. Love animals, hate abusers of any kind. I support #LGBTQ #TheResistance #RescueDogs #SaveAmerica #TrumpLeaks #NoWall NO LISTS",Delaware,0,@KingJul09 @Salman_ganai_2 I’m so sorry. Depression is devastating. It’s not just people feeling sad. Get her mental &amp; emotional help. They can monitor her and really help.,2022-04-30 16:42:23+00:00,[]
40,Tweeting mildly amusing thoughts for no engagement purely for the love of the game.,,0,@AlexisNex Yeah it’s used as a horse tranquilizer and to knock out people who are in shock in heavy doses. However it has been increasingly used recreationally and is now being touted as a treatment for depression,2022-04-30 16:42:26+00:00,[]
41,"Author, ‘The Tao of Pug' (Penguin). No. 1 #ESG influencer (Commetric 2020). Freelance journalist, bylines: Salon, Sports Illustatted, Rantt Media",Oregon,100,"@elonmusk @pmarca In fact, there's little evidence that Wellbutrin or any other antidepressant increases suicide rates in kids or adults.

To the contrary, the diagnosis and treatment of depression in kids has gone down since the black box warning and the suicide rate has *increased*. https://t.co/ZHGKN37uo5",2022-04-30 16:42:27+00:00,[]
42,,Burnaby,0,"@court_juanite @SteveSaretsky The point is not the individual case, it is if +20% of the market defaults that has huge economic implications and snowballs into a whole other set of problems. No one is spending, leads to no jobs leads to depression times.",2022-04-30 16:42:28+00:00,[]
43,"Seiso. GARBAGECREEP. Owner of a gremlin. Dating the Frito Bandit.  Not my circus, not my monkeys. ALL GLORY.",,3,"Today Dropkick Depression presents Undeniable! A stacked benefit show for Woman Space (a non profit that offers Help for women, men &amp; families impacted by domestic&amp;sexual violence)
Doors @ 6:30PM
Bell @ 7PM
Food Trucks/ Full Bar/Wrestling!
61 Pine St. Old Bridge NJ
#DDUndeniable https://t.co/wzvzvNlq7m",2022-04-30 16:42:35+00:00,[]
44,"NGE + EoE | One Piece | Berserk
           animanga, films, photography, truth 👁",,0,"I love this, thanks for sharing! 
I'm undiagnosed but the opposite lmao, years of depression eventually led to manic states when I'd bounce back from being down. 
In a manic state rn and haven't slept for 40 hrs lol :( oh yeah and I just shaved me entire head rn LMAO 🙃 https://t.co/URmQcwe8B0",2022-04-30 16:42:36+00:00,[]
45,"CEO, People/Leadership Dev, Disrupter, Knowledge Broker, Digital Course Creator, Navy Brat, USO Volunteer, Sister to 2 Ret. USAF PJs, ❤️ Baseball, Gladiator.","Houston, TX",0,@elonmusk @pmarca This is so true. After my Dad died my mother was diagnosed with depression and put on Wellbutrin. I had them discontinue it after a week. She spiraled down quickly.,2022-04-30 16:42:38+00:00,[]
46,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness https://t.co/7gNhyGaKEp",2022-04-30 16:42:38+00:00,"['addict', 'addiction', 'AddictionRecovery', 'Anxiety', 'anxious', 'AskForHelp', 'bipolar', 'bipolardisorder', 'bpd', 'breakthestigma', 'counselling', 'Depression', 'endstigma', 'endthestigma', 'faithoverfear', 'familytherapy', 'happiness']"
47,animal lover 🦊🌵 CNA 💉 crafter 🎀 queer 🏳️‍🌈,,0,@DesbiensGills @inallcreashun @NicoleyHair @winonurse91 @AshleyGWinter She probably just assumed it was standard depression and then he was pushed to mania with an antidepressant. It’s not uncommon.,2022-04-30 16:42:39+00:00,[]
48,scorpio sun/rising Leo moon. we like to do too much over here. $100 to argue dm for booking.,cant beat my ass ,3544,"Acid &amp; shrooms recently brought me out of the worst depression of my life. I feel like my brain switched channels and I’m curious again, I’m reading again, I’m leaving my house everyday. The world feels beautiful again finally &amp; I fucking missed it",2022-04-30 16:42:43+00:00,[]
49,• product design @kudabank • opinions are mine • he/him • subaru person • demogorgod,,0,"Cities increase your risk of depression, anxiety and psychosis – but bring mental health benefits too https://t.co/gQ4jJlYkA2 via @ConversationUK",2022-04-30 16:42:43+00:00,[]
50,"exchanging & supporting 🧠 mental, 🧘🏽‍♀️physical, 🎭 emotional, 🙏 spiritual health, recovery and sanity. #HSP #Yogi 🚫 bots, trolls, dunning-krugers 🚫",,0,"@elonmusk @pmarca Herbal remedies before going Full Pharmacy Jacket- Friend w/ depression [cried for no self-understandable reason, lethargic, uninterested, suicidal ideations, etc.] Started St. Johns Wort and after a few weeks stayed on it due to improvement.",2022-04-30 16:42:44+00:00,[]
51,,,12,"#caregiverspilotprogram
Outsider Caregivers are waiting results since 2019. Caregivers are suffering from depression, anxiety. Please clear backlog of caregiver,no more refusal. Give us grant visa @CitImmCanada @JustinTrudeau @SeanFraserMP @jasrajshallan @CBCNews @OMNIpunjabi",2022-04-30 16:42:45+00:00,['caregiverspilotprogram']
52,,,127,"Tweet about this👇 billionaire, @mcuban. He’s trying to do some good. 

Lex Luthor Musk is busy baiting Twitter to ban him for misinformation on Wellbutrin. Which I happen to take, and has been a godsend for my depression/anxiety. https://t.co/h04DOOR6YD",2022-04-30 16:42:46+00:00,[]
53,,,0,Fans have ignored this tweet and gone into full depression mode https://t.co/G0DxJLoWYh,2022-04-30 16:42:48+00:00,[]
54,"Life is short the world is wide, I want to make some memories.",Veracruz,0,"@officialcharts @LittleMix Since I was little they have given me an escape, a safe place I could go to when I was stressed and sad. They give me energy and so much happiness that have help me deal with depression and I owe them my life. Sad they never came to mexico but happy that they get to rest. ❤️",2022-04-30 16:42:51+00:00,[]
55,"|| RP ACC ||  i: @nyotaskoanst

admin: she/her",,0,@KingBeeAmagi // depression,2022-04-30 16:42:51+00:00,[]
56,"#FBPE #FBPA #FBNHS #johnsonout
No DM's please. no time to reply at the moment. Love animals, no matter how they are cooked.","Galera, España",7,"just tested negative, chuffed, it means I can play cricket tomorrow. it's been a long few days.
I battle depression at the best of times, these cricket matches mean the world &amp; do me good.",2022-04-30 16:42:51+00:00,[]
57,Back up account for @KSnehal810 dedicated to @itsSSR,India,7,"How is mahesh bhatt appearing with depression theory in all suspicious deaths?
@ips_nupurprasad @PMOIndia
@HMOIndia @NIA_India @dir_ed
@indSupremeCourt @CVCIndia
@DrJitendraSingh

I Am Sushant I Want Justice",2022-04-30 16:42:51+00:00,[]
58,"Exhibit guy at Fernbank Science Center. Weekend woodworker. Native of Ogema, Wisconsin.","Decatur, GA",0,"@kswizzle98_ @drjessigold Wellbutrin was fantastic for me, too. No side effects. It replaced a trio of other meds for my depression &amp; ADHD. Furthermore I tapered off of it with no issue after three years of use, once my circumstances improved.",2022-04-30 16:42:53+00:00,[]
59,"Bodybuilder, Up and Coming Entrepreneur
Daily fitness motivation & tips
Beginners workout guides, coming soon 👀
Don’t wanna miss ‘em? Hit follow 👆🏾",The Gym (Probably),0,"@GoodmanSol13 @SolinisFitness It's almost like a compound thing and it's beautiful.

Also, read your bio. That's very important work and thank you very much for doing it! 

It's truly horrible how little depression and suicide are talked about, especially in young men.",2022-04-30 16:42:57+00:00,[]
60,here for the ☕,,19,If eno be Twitter nanka by now depression and loneliness kill we longest time oo chale,2022-04-30 16:43:02+00:00,[]
61,"@kristtps @stjinx_maya 🖤

朱一龙哥哥的小笼包 🥟 Guardian Girl 🖤

Conehead 🤍 에리곰 🤎

Gawincaskeyy 💚

First Kanaphan 💛",,0,"Clairo - bags hit more than it was to me after watching Heartstopper. 
I had a day of depression by listening Sofia on repeat . Clairo's impact on me is too much huh . 
""Walking out the door with your bags "" is stuck in my mind all the time now .",2022-04-30 16:43:03+00:00,[]
62,"God♡
success☆
Girl with urban dreams🧘‍♀️
previous account suspended.",,0,@wxt_3 🤣🤣🤣🤣🤣 shme low self esteem will make u say such ....hiding behind someone's pic ....shme ...its not u ...its depression bcs u cant face the world  ....shme man ....ur mom shld made things easier n aborted u ....ur so unhappy ....what a coward .....why does it bothr u ?,2022-04-30 16:43:07+00:00,[]
63,Go where you feel the most ALIVE.,Kuwait,0,Depression took the best of me.,2022-04-30 16:43:08+00:00,[]
64,😷🇺🇦 DEMocracy. Snark. Cats. Humor. #NeverStopLearning #RightMatters #BLM 🤟🏼My Amazing Daughter is #Deaf Actress Figure Skater @itswhitneymeyer 🎬⛸💕,Near Boston,438,Wellbutrin (Bupropion) is trending bc Elon Musk said it causes suicide and should be taken off the market. That tweet should have a disinformation warning. Wellbutrin is an established protocol for depression and has saved millions of lives. Don't take medical advice from randos.,2022-04-30 16:43:09+00:00,[]
65,Im just hanging out #justiceforcornelius #carenotcontrol #nopardonsnovotes,City of Champyinz ,0,"@Hestipios There are also studies with Ketamine and MDMA happening.  Research is indicating that it’s good for treatment resistant depression and ptsd.  I have both, but the PTSD is the one I sometimes struggle with.  I’m in fight, flight, freeze, and flop off and on.",2022-04-30 16:43:10+00:00,[]
66,Mrs. Harlow❤️ | You appear to be puzzled and perplexed... luckily you're in the presence of a human thinking cap.,In your head living rent free.,389,tbh...I think our generation is too goal focused at times and that's why there's so much depression and anxiety (along with self worth issues) because we set these high goals in unbelievably short timeframes and when we even seem to be a inch off track we chastise ourselves,2022-04-30 16:43:10+00:00,[]
67,The Ron Abides.,"Portland, OR USA",7,"The 1930s was the Great Depression, the 2020s is the Greed Depression. https://t.co/EMyzGMIwKG",2022-04-30 16:43:11+00:00,[]
68,"Follow because you want to, not because you want a follow back 🙄
Still working on my bio, come check after 10 years...",eSwatini,26,"I hate the depression that comes after having a good time.. be it groove or any type of outing..
like ufike endlini all of a sudden you're down",2022-04-30 16:43:12+00:00,[]
69,"Always #TeamPete, but #RidinWithBiden for the next 4 years. New fan of the US Department of Transportation. #SecretaryMayorPete #HighwayHopes",,1,"Experts warn of long-term setbacks for students exposed to gun violence. Researchers have also found that in the two weeks after a shooting, children  nearby were nearly twice as likely to visit ERs for problems like anxiety, depression and self-harm. https://t.co/nFkH6d9npZ",2022-04-30 16:43:15+00:00,[]
70,We're #TeamAmerica together we stand or divided we fall. America was built with teamwork from us ALL. #AmericanFamily #AmericanEagles #MamaEagle #GodsSmile,"Rockdale, Maryland",11,"@drjessigold The low dose of Bupropion (Wellbutrin generic) added to my Sertraline (Zoloft generic) has been the best thing ever for my chronic depression and adult diagnosed ADHD (inattentive). I feel alive, rather than a sentient, bundle of nerves rendered immobile by depression.",2022-04-30 16:43:15+00:00,[]
71,"n–n–no… nobody's fault but mine. database boffin, virtue signaler; he/him",,1,"I share today in case you are standing at the bottom of that staircase, thinking it's not you, it's the world that has gone dull and gray around you, and that it cannot be depression because your understanding of what that word means does not match your experiences.",2022-04-30 16:43:16+00:00,[]
72,ITS ALL ABOUT ME 🦂,,0,Not showering is definitely a sign of depression/laziness. It’s no way you just okay with feeling like 2 days ago.,2022-04-30 16:43:17+00:00,[]
73,"Money follows movement, speed is king","New York, USA",0,"me &amp; other are typically split in two. I (jordan) hav the happiness, love, insecurities, depression, trust, laziness, empathy etc. while other has the anger, pessimism, intelligence, social intelligence, work ethic, doesn giv a fuck abt anyone. wer split like light &amp; dark.",2022-04-30 16:43:19+00:00,[]
74,Ask google,lagos,259,"#flutterwave its so sad that an uncle of mine died of depression when u guys held his money for so long. He couldn't bear it no more after constant embarrassment from the people and organisations he owed. this is heartbreaking.
Now, you guys are holding 86fb's funds.
#Wickedsouls https://t.co/Of8DblSdXD",2022-04-30 16:43:20+00:00,['flutterwave']
75,Curiouser and Curiouser | Lovingly Married to @conjurewoman,,1,"Crazy seeing Wellbutrin trending

I was on that stuff over a decade ago, and let me tell you, it helped with my depression...and gave me recurring hyper-realistic and disturbing dreams that began to blend the boundaries between waking and sleeping life

Also made me smoke less https://t.co/PzId7nFgNP",2022-04-30 16:43:20+00:00,[]
76,Landscape Architecture,,7,"PRESS RELEASE: GLA is crowdfunding for a Bartonella study. Bartonellosis can affect the brain, eyes, heart, + other organs. It can also cause depression, anxiety, OCD, and encephalitis. Click to make a donation that will support this incredible research.
https://t.co/NNVNNo8Skh",2022-04-30 16:43:21+00:00,[]
77,he/him,@juicedalt,0,Rand is going to get so much more annoying/insufferable in season 2 but after that we get depression and trauma so that will be fun to watch 🌺,2022-04-30 16:43:25+00:00,[]
78,Everything is beautiful in its own time | uDlamini | Politics | Kaizer Chiefs | Chelsea | Nas is the greatest lyricist of all time.,Cape Town ,1005,"Elon Musk is making Twitter fun and lighthearted. The Left wants it to be a cesspool of depression, dopamine addiction, and virtue signaling. And they are not happy with the change.",2022-04-30 16:43:27+00:00,[]
79,,,0,@elonmusk @pmarca I’ve taken lsd mushrooms many times it does help with add adhd it helps with ptsd and depression though. You are the opposite of having adhd so you can not relate at all. Your problem is you starting to believe your own type of how smart you are,2022-04-30 16:43:29+00:00,[]
80,Short and simple talk,,2795,"Thoughts on the photo gallery feature? Make sure to download your exclusive in-app photos!

https://t.co/PiC0qiF31e

#JAYB_Mindset #JAYB https://t.co/ExuL85mI9G",2022-04-30 16:43:33+00:00,[]
81,"Market opinions are not investment advice. 
Assume everything is sarcasm. This too.",USA,0,@AdamSinger Folgers crystals is full depression.,2022-04-30 16:43:36+00:00,[]
82,,National Capital Region,48,"“Before you diagnose yourself with depression or low self-esteem, first make sure that you are not, in fact, just surrounded by assholes.” — Sigmund Freud”

ANJI FeelsTheConcert 
#AnjiFEELSConcert https://t.co/ga4i6fy6rx",2022-04-30 16:43:39+00:00,[]
83,"loveR♡ muse(ician) ﾟﾟ･｡ director✫ Designer!
view my NFTs at the website link~ AuraAura.tez ⋆ .eth",PVD,1,"@quenblackwell If anything in this world is satanic, it’s how much things you do while under the pressures of depression/anxiety make those problems so much worse",2022-04-30 16:43:40+00:00,[]
84,"life is hard, dope is easy. ✨ | EvangelistaAbundance 💃🏾",hell ,3544,"Acid &amp; shrooms recently brought me out of the worst depression of my life. I feel like my brain switched channels and I’m curious again, I’m reading again, I’m leaving my house everyday. The world feels beautiful again finally &amp; I fucking missed it",2022-04-30 16:43:40+00:00,[]
85,,Jamaica,5,"I remember my girlfriend at the time , now my wife, taking me to a store (used her savings) in Liguanea to buy two pair of work shoes , just to calm my depression from not having any clothes.",2022-04-30 16:43:41+00:00,[]
86,,,3,"Sant Shri Asharamji Bapu rescued thousands of cow  sent for slaughtering. Awakening the masses by describing cow's benefits. People in foreign countries spending millions to spent time with cows just to get rid of depression
#गौसंरक्षण 
गाय हमें पालती है
Gauraksha Param Kartavya https://t.co/HczFeHmqB3",2022-04-30 16:43:44+00:00,[]
87,“I don’t belong in any room so I am comfortable in every room.”,"Colorado, USA",0,It’s really good that I have a lot of good to focus on and distract myself with right now because my depression is absolutely RAGING in the background of my life https://t.co/IqlTPykwD9,2022-04-30 16:43:45+00:00,[]
88,💟no quality without equality 💟,مسر,58,anxiety and depression are the mental illnesses i feel comfortable admitting to but don’t worry i have others up my sleeve 😏,2022-04-30 16:43:46+00:00,[]
89,"The soyest of boys, so soy I ceased being a boy- they/them

Icon art by @maverwyn",,0,"@Drockvp @JaneidyEve @elonmusk @pmarca Depression is not ""feeling down"".",2022-04-30 16:43:49+00:00,[]
90,$MoMoneyNoProblem,"Baltimore, MD",3544,"Acid &amp; shrooms recently brought me out of the worst depression of my life. I feel like my brain switched channels and I’m curious again, I’m reading again, I’m leaving my house everyday. The world feels beautiful again finally &amp; I fucking missed it",2022-04-30 16:43:50+00:00,[]
