,description,location,retweetcount,text,date,hashtags
10,"Full-stack developer, CEO & Founder
of A++Labs @APlusPlusLabs
(Software, mobile apps & web 
development company in Kgl)",N.Y.A Kigali-Rwanda,1,"This sounds like some1 who grew-up supporting Man utd &amp; an anti-ronaldo team (prbbly barca/atletico) and then Ronaldo got back at Manutd and now u blame him even for glazzers' football ignorance, magwaya's own goals, cavani injuries, rashford's PTSD, Greenwood domestic abuse... https://t.co/9lxjSaZ6kG",2022-04-30 15:25:36+00:00,[]
11,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/Mey3Mi98A3",2022-04-30 15:25:38+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
12,Ottoman History | Translation| Linguistics DM📩 for Turkish lessons,,0,"Defending a superficial Hollywood doll who abused labor of her personal assistant and paid her very poorly, lied about having PTSD is not the feminism you think it is.",2022-04-30 15:25:41+00:00,[]
13,"nonbinary 🏳️‍⚧️ fruitcake
mm I like a yummy bread
not underage
taken",,13,Welbutrin saved my life and allowed me to function after being diagnosed with PTSD from witnessing a fatal hit and run. Elon can fuck off with his ignorant ableist bullshit. https://t.co/XJsLzxTe71,2022-04-30 15:25:46+00:00,[]
14,Just enjoying life 😍💙💜💜,,0,@kazughs Directioner army here 🙋🏻‍♀️ I still have ptsd from one direction just up and leaving 😭 like I do have a slight fear every time BTS announces a vacation,2022-04-30 15:25:59+00:00,[]
15,"Paracord Bracelet Maker. Artist. #ARMY #VETERAN #ITSOKNOTTOBEOK
https://t.co/Qt63BBKFyv",( Scotland UK ) ,0,"@BFBSRadioHQ I Would appreciate a RT to help me push my story.
The physical War may be over but the mental scars still remain.

Please help a small donation would go a long long way
https://t.co/hFFntzmEJp

#Army #veteran #PTSD #mentalhealth #itsoknottobeok https://t.co/73kvNPhdg8",2022-04-30 15:26:01+00:00,"['Army', 'veteran', 'PTSD', 'mentalhealth', 'itsoknottobeok']"
16,"check yours👁️👁️, Manunited minded🔴",Home,1,"This sounds like some1 who grew-up supporting Man utd &amp; an anti-ronaldo team (prbbly barca/atletico) and then Ronaldo got back at Manutd and now u blame him even for glazzers' football ignorance, magwaya's own goals, cavani injuries, rashford's PTSD, Greenwood domestic abuse... https://t.co/9lxjSaZ6kG",2022-04-30 15:26:04+00:00,[]
17,"🇪🇸 🇩🇴 self-proclaimed the social network (2010) historian. movies, figure skating and kpop.",she/her,0,i think it’s really rude that the met gala is just marching on while i’m getting over my car accident ptsd,2022-04-30 15:26:39+00:00,[]
18,escritor • assistant professor of hispanic studies at oberlin college • autor de “los días hábiles”,"Oberlin, OH",0,"@FluentMundo ptsd from all those catholic middle school salsa heavy parties in pr is my excuse. in that context, merengue was freedom. kinda only half kidding",2022-04-30 15:26:41+00:00,[]
19,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/FmCZcFHeFt",2022-04-30 15:27:09+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
20,"Outlander addict. Wife, mother of 4, & grandmother of 3 beautiful girls and 1 adorable grandson.",,0,@Johanna_ @MichelleLingua @Outlander_STARZ @SamHeughan Ether is her escape from a more severe PTSD from a gang rape. Diana explained this in an interview. Using it the way she is will not lead to addiction. And it wears off quickly. Ether is a result of the poor choice changing number of rapists last season.,2022-04-30 15:27:20+00:00,[]
21,Psychoanalytic Studies student in University of Essex.,,0,"Jacob Mendez Da Costa was one of the main physicians who studied about the soldiers trauma condition during the American Civil War.
•
He diagnoses of ‘IRRITABLE HEART’ and ‘SOLDIER’s HEART’ became well known by modern researchers as referring to PTSD.",2022-04-30 15:27:28+00:00,[]
22,hi im lex and i like the arctic monkeys,22,7,ion think some parents understand that hitting ur child or destroying their belongings does not teach them a lesson or motivate them to behave better. ur literally just giving ur child PTSD.,2022-04-30 15:28:01+00:00,[]
23,Below the radar,,0,https://t.co/a9MYv2bKK1 Magnify everything in this article by 1M for healthcare workers. #StressAwarenessMonth #PTSD,2022-04-30 15:28:21+00:00,"['StressAwarenessMonth', 'PTSD']"
24,I don't support Russia or Ukraine; both are corrupt. I support the innocent. 🇺🇸19K Army Veteran 🇺🇸 Kyle Larson fan. #ImpeachBiden #LetsGoBrandon 2A & 1A,,0,@Hoss21_ @PammsyB This is going to give her PTSD.,2022-04-30 15:28:28+00:00,[]
25,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/Ajx3V7iOEI",2022-04-30 15:28:42+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
26,amplifying and supporting,Church ,0,Here are the allegations against Darius ‘Cooks’ Williams so far. He has yet to answer to any of them. #DariusCrooks #DariusCooks https://t.co/AiVcNnqwy5,2022-04-30 15:29:08+00:00,"['DariusCrooks', 'DariusCooks']"
27,MOST WHOLESOME MAN ON TWITTER,"Ottawa, Ontario",7,ion think some parents understand that hitting ur child or destroying their belongings does not teach them a lesson or motivate them to behave better. ur literally just giving ur child PTSD.,2022-04-30 15:29:17+00:00,[]
28,"Im a fun loving,  game addict","Lusaka, Zambia",0,"After God
Fear me
 Because i will intentionally give your kids PTSD 🙃😇🌹",2022-04-30 15:29:33+00:00,[]
29,"Dust, Floodlight,  the tide rises lit,  Black Bough Poetry, Feral Poetry, Petrichor, Maw, Goat's Milk, Cypress Press, Moist Poetry.She, her, 🏳️‍⚧️🦋 🏳️‍🌈🦄","near Tampa, once Tocobaga land",13,Welbutrin saved my life and allowed me to function after being diagnosed with PTSD from witnessing a fatal hit and run. Elon can fuck off with his ignorant ableist bullshit. https://t.co/XJsLzxTe71,2022-04-30 15:29:35+00:00,[]
30,"California girl finding that passion again! BFF with 
@battlereadysb
 ❤  1/2 of the Damned Ones. 6x World Champion (RP/Fictional account/not Candice LeRae)","San Diego, CA",0,"Again with ""fake PTSD""

https://t.co/93C1kJhHLr",2022-04-30 15:29:52+00:00,[]
31,,"Harlingen, TX",19,"I’ve seen a few posts about how hilarious it is that Johnny Depp has been coloring during his trial. Warm reminder that coloring is a therapy tool that many people with anxiety, depression, and PTSD use when talking about+ confronting difficult topics. #JohnnyDeppVsAmberHeard https://t.co/98juGhkcNi",2022-04-30 15:29:53+00:00,[]
32,The Multidisciplinary Association for Psychedelic Studies (MAPS) has been supporting #psychedelic and #marijuana research since 1986. • #MDMA #PTSD,International,5,".@JBergendorff of @SVTNyheter in Sweden explores the potential of #MDMA-assisted therapy in treating PTSD, the personal experience of an individual who received such treatment, and the possibility of regulatory approvals in the U.S. and Europe. https://t.co/dnmaOq3j8Q",2022-04-30 15:30:00+00:00,['MDMA']
33,"#freesoftware and free markets. #Linux #Seasteading #AsteroidMining #AnarchistMoonBase
Slowly moving on to https://t.co/t18tjKkhiG, and https://t.co/bFXqg5CoLq",At the edge of The Empire.,1,"Nobody cares about my PTSD from the drug war.  They think legalizing it is going to make me forget. They're wrong. People died for that, people lost years of their lives... friends of mine.
Think about when you light your taxed store-bought pre-roll. 
I do. https://t.co/GzMC6vDRNO",2022-04-30 15:30:06+00:00,[]
34,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/bEZJUYx5Qt",2022-04-30 15:30:07+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
35,With women and children. For better services. Ready to change culture.,,0,"Nicola contacted Perthshire Women’s Aid (PWA) in 2018 who deemed her and her family at risk of “current or future harm”.
The group found her to be “an absolute shell” when she arrived and said they believed she was suffering from PTSD. 8/",2022-04-30 15:30:07+00:00,[]
36,Aspiring Actor and anything else theatre & film. Former teaching student. Would love to be part of a horror movie. Check me out on Instagram. He/Him. Hufflepuff,"Columbia, Maryland",10,Today marks 3 years since the shooting at my school. 3 years since a shooter murdered 2 &amp; injured 4. 3 years since a friend texted me there was a shooter in her building nearby. 3 years since I ran for my life to get away from campus. 3 years of PTSD.,2022-04-30 15:30:41+00:00,[]
37,Multi 💜 20🗓 if you understand the joke + reference behind my pfp we should be friends.,,0,@kookingdash @kazughs “hiatus” or “it’s just a break” gives me PTSD with bands so much now.. those 5 lads really did give me issues after stanning them for so long😭😂,2022-04-30 15:30:45+00:00,[]
38,"""Helping those of you with Complex Trauma or PTSD to make real progress, so that you can live a normal life again.""​ Roland",Portugal,0,"Learn the definitions of PTSD and how some of these experiences might have contributed to your #PTSD or  #CPTSD:  https://t.co/pesICvK4Ej

#anxietyPTSD #posttraumaticstressdisorder #rolandbal https://t.co/jQO7c1BZor",2022-04-30 15:30:51+00:00,"['PTSD', 'CPTSD', 'anxietyPTSD', 'posttraumaticstressdisorder', 'rolandbal']"
39,"Star Wars, Marvel, LOTR, Sci-Fi/Fantasy, Old Hollywood

Scientist, 80s baby, Actually Autistic, pan romantic demisexual

She/Her",Occupied Menominee Land,0,Shows on the WB used to put trigger warnings up on the front if the episode was going to deal with difficult topics that week. I think streaming should bring that back. Especially if you are going to deviate from the source material into an actual source of DID and PTSD.,2022-04-30 15:31:04+00:00,[]
40,Federal PPC Candidate EML | looking forward to seeing what Elton Rocket Man will do with twitter | Mars ain't the kind of place to raise your kids,,6,"The PTSD has been fully triggered. I, I think I hear the honking again. Nooooooooooo https://t.co/X9akjpP2Ok",2022-04-30 15:31:11+00:00,[]
41,"I tweet 4 me
Democrat
Cis Str8 Watermelon
AMERICAN 🇺🇸
Capitalist
Patria y Vida
💜Catholic 💜
""1st duty of man=Think 4 self""- ❁ Jose Marti❁
Pronouns: BB/QT","Mazel Tov, YHWH",0,"@DrJessTaylor There is ""Battered Husband Syndrome"" as well which is completely unnecessary since it seems to be that trauma + PTSD treatment is what is needed post abuse/trauma.",2022-04-30 15:31:19+00:00,[]
42,"she/her. voice actor, writer of comics and films, hypodermic needle heiress, miss tuohy if you’re nasty.","New York, USA",0,Okay Sidney Prescott might be my favorite slasher franchise protagonist. These movies are goofy but actually handle PTSD sort of gracefully? And Sidney running a women’s crisis hotline? Ugh. Love her.,2022-04-30 15:31:27+00:00,[]
43,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",1,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/3rKjZkFedI",2022-04-30 15:31:34+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
44,"💍 2 a 🥵 🇵🇭. Mom of 3.Stillbirth (39wks) & M/C (10wk) Book 🤓. FFRP. Thrifter. 👩 in tech. 🎮. PTSD, PPD/PPA. Maternal Mental Health. Rev 21:3,4 🙏🏻",United States,0,"@elonmusk @pmarca Incorrect. It’s helping me daily to hang on, be calm, be a good mom, have a libido vs the 1 zoloft killed, etc. Never needed anything until my daughter died, now PPD, PPA, PTSD. Pls don’t shame this drug. Mental health drugs work differently for all &amp; must be watched by Doc.",2022-04-30 15:31:36+00:00,[]
45,"FanAccount.She/Her backup accs @nvrgondance @pettylambert GeorgeMichael,AdamLambert,Shakira,Avril, Gwen,Xtina,LMixot3,Bey,Enrique,BillKaulitz,Anastacia","Helsinki,Finland ",4,Amber also claimed PTSD symptoms. Forensic psychologist Dr Curry told the court that “On the objective scale of trauma Amber Heard was in the 98th percentile on the malingering scale meaning she had engaged in heavy dishonesty &amp; gross exaggeration [of her symptoms]” https://t.co/h9kNbjX5y5,2022-04-30 15:31:46+00:00,[]
46,Veteran. Daughter of a veteran. Mother of two veterans. Retired federal service. Godless liberal Democrat and shameless feminist. DMs = Instablock!,,0,@akaetorres2001 @biggestcatt @Fablewolf91 @darby1044 Both my son and my friend were taking it for PTSD-related issues after serving in Iraq. The last thing you want to confront in your hallway at 3AM is a combat vet in a fugue state. It was the first drug that had allowed him to sleep uninterrupted. 😢 The others haven’t helped.,2022-04-30 15:32:13+00:00,[]
47,,"Toronto, Ontario",13,"#Ottawa Police displaying C8 assault rifles at a protest is an escalation, not a de-escalation.  Doing it at an event that is made up of Veterans, some who may suffer from PTSD is just stupid and unnecessary.  Shameful conduct that will bring the force into disrepute.",2022-04-30 15:32:25+00:00,['Ottawa']
48,Don’t bring bitchassness to my mentions,,7,ion think some parents understand that hitting ur child or destroying their belongings does not teach them a lesson or motivate them to behave better. ur literally just giving ur child PTSD.,2022-04-30 15:32:39+00:00,[]
49,"#LoveAndPositivity2022 Lifelong Scholar, Social Entrepreneur, Techie👨🏽‍💻, Traveler, and Bookworm 📚","Washington D.C., Metro Area",1,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/3rKjZkFedI",2022-04-30 15:32:42+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife']"
50,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/lhXJoG9Z8I",2022-04-30 15:33:01+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
51,"No quiero que más nadie me hable de amo, ya me cansé, to' esos trucos ya me los sé, esos dolores los pasé","Barcelona, España",4,Seeing someone tbat gave u ptsd live their life carefree and happy and doing amazing without any consequences 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,2022-04-30 15:33:02+00:00,[]
52,Not for the fan of Elvis | NFL draft dodger | deleted at 870k,,0,@Outkick Ah yes just what college athletes need ptsd and dying for American business,2022-04-30 15:33:04+00:00,[]
53,ቃንዛ ኣለኒ ቃንዛ ህዝበይ💔😭💊👈,,55,"Thousands of #ChildrenOfTigray are suffering from psychological, emotional, &amp; physical trauma from being raped during #TigrayGenocide. They need urgent aid to help with their depression, PTSD, suicide, &amp; panic attacks. @SamanthaJPower @SecBlinken @hrw @SavetheChildren @UN_Women",2022-04-30 15:33:34+00:00,['ChildrenOfTigray']
54,"Formerly Jungle Drum & Bass DJ, Multi genre producer. Lyricist and writer. For media or MC bookings email below:
pauladamkeegan@outlook.com","Stockport, England",0,You guys in media and politics dragged at me against my will and then you would cite extremism in triggering my PTSD and inflaming me further after a lifetime of similarly odd behaviour aimed at the me from proxy.,2022-04-30 15:33:39+00:00,[]
55,Don’t Let Haters Stop U.,The Dark Alleys. ,7,Woman with disabilities nears medically assisted death after futile bid for affordable housing https://t.co/cN38N6sTbj,2022-04-30 15:33:47+00:00,[]
56,i swear im real @theweeknd @tylerthecreator,far from home,7,ion think some parents understand that hitting ur child or destroying their belongings does not teach them a lesson or motivate them to behave better. ur literally just giving ur child PTSD.,2022-04-30 15:34:20+00:00,[]
57,"Stillbirth and Perinatal Loss Awareness, Research, Education, Advocacy and Support for Families and Professionals. Tweets by @ClaudiaRavaldi & @AlfVann","Prato, Italy",2,"Most challenging tasks for healthcare professionals are discussing child's death, its causes, and post-mortem results. Their risk of PTSD is high (up to 30%) and it's reduced by a formal training in communication.
@ClaudiaRavaldi at #conciencia2022, @FundEraenAbril, #Argentina. https://t.co/FBBQfnXg3F",2022-04-30 15:34:20+00:00,"['conciencia2022', 'Argentina']"
58,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/pVYc6BwaS9",2022-04-30 15:34:29+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
59,"Snowflake, Moms Demand Action Volunteer, Survivor Fellow, all views are my own.","Texas, USA",10,Today marks 3 years since the shooting at my school. 3 years since a shooter murdered 2 &amp; injured 4. 3 years since a friend texted me there was a shooter in her building nearby. 3 years since I ran for my life to get away from campus. 3 years of PTSD.,2022-04-30 15:34:35+00:00,[]
60,"Ramona here!  I am a horticulturist, a mom, a gamer, D&D enthusiast and generally kind of a nerd.",,0,@SmellyPitsOMG @KikiKibbitz Lol... I am far from that bad ass.. to be honest I have PTSD and I am terrified of any confrontation my hands were shaking so bad...,2022-04-30 15:34:41+00:00,[]
61,"#Wisdom #BraveNewWorld #AI #TheFallenARISEing #Div9neFemiNINE99 #L6V9 🤘 ""In 700 years the laurel will become green again and the Good People will return."" 1321","Wichita, KS",1,"@22ARW I AM Adores Brave-Hearted Heroes!
#L6V9

Unfortunately,
Elite leaders don’t always give them Noble Orders.

My own Father,
Vietnam Vet.

Severe PTSD,
Life in prison was his reward for serving.

I wonder,
Where are the millions of sex-trafficked Children—

And who is abusing them? https://t.co/9GmCdOViCw",2022-04-30 15:34:53+00:00,['L6V9']
62,“The Day You Plant the Seed is Not the Day You Eat the Fruit.” - Fabienne Fredrickson 悟り,,0,"No AirPods, no preworkout. This pump was brought to you by PTSD. The official fuel of my Saturday 😭🦧😂 https://t.co/B8l4YBSVoT",2022-04-30 15:34:55+00:00,[]
63,Emergency/Environmental/Security Management; Egyptian Archaeologist; veteran RCN Officer⚓; natural & cultural heritage; proud tree hugger 🌲.  RT ≠ Endorsement,Canada and Egypt 🇨🇦🇪🇬,3,"Support the ""Midsummer"" dream   https://t.co/nEBE3MzMfQ Great project to help #veterans with #PTSD!",2022-04-30 15:34:57+00:00,"['veterans', 'PTSD']"
64,"#Wisdom #BraveNewWorld #AI #TheFallenARISEing #Div9neFemiNINE99 #L6V9 🤘 ""In 700 years the laurel will become green again and the Good People will return."" 1321","Wichita, KS",1,"@22ARW I AM Adores Brave-Hearted Heroes!
#L6V9

Unfortunately,
Elite leaders don’t always give them Noble Orders.

My own Father,
Vietnam Vet.

Severe PTSD,
Life in prison was his reward for serving.

I wonder,
Where are the millions of sex-trafficked Children—

And who is abusing them? https://t.co/9GmCdOViCw",2022-04-30 15:34:59+00:00,['L6V9']
65,I'm a Computer Scientist that's passionate about helping others.,"Fort Collins, CO",0,"@elonmusk @pmarca There is so much research about the positive effects of psychedelics on the human brain. Depression, PTSD, drug addiction, these all can be fought with mind expansion!",2022-04-30 15:35:00+00:00,[]
66,The Clinical Pregnancy Loss Research Team at Cork University Maternity Hospital (CUMH) & the Pregnancy Loss Research Group @UCC. RT ≠ endorsement,"Cork, Ireland",2,"Most challenging tasks for healthcare professionals are discussing child's death, its causes, and post-mortem results. Their risk of PTSD is high (up to 30%) and it's reduced by a formal training in communication.
@ClaudiaRavaldi at #conciencia2022, @FundEraenAbril, #Argentina. https://t.co/FBBQfnXg3F",2022-04-30 15:35:03+00:00,[]
67,"Main/Kink Account for @MidnightIB 

🔞

Twitter auto-posts from Inkbunny! Also horny talk (host is Aro-Ace)",,0,"6) Tiberius has a lot of PTSD associated with his youth. He can't stomach any sort of crime, horror, or slasher genre show or movie. Action films are the best he can take, and tries to enjoy them with the gang when they can.",2022-04-30 15:35:05+00:00,[]
68,"Only Tegaru For Tegaru ❤️ 💛💊
   God is love 
my mom is my life ,I miss my family 👪 
እግዛቢሄር ኣምላክ ምስ ህዝቢ ትግራይ ይኩን🙏

#stop_tigray_genocide","Berlin, Germany",55,"Thousands of #ChildrenOfTigray are suffering from psychological, emotional, &amp; physical trauma from being raped during #TigrayGenocide. They need urgent aid to help with their depression, PTSD, suicide, &amp; panic attacks. @SamanthaJPower @SecBlinken @hrw @SavetheChildren @UN_Women",2022-04-30 15:35:06+00:00,['ChildrenOfTigray']
69,"Mom, activist, wife, parenting educator, Washington State Students Demand Action Liaison and preschool teacher. she/her","Washington, USA",10,Today marks 3 years since the shooting at my school. 3 years since a shooter murdered 2 &amp; injured 4. 3 years since a friend texted me there was a shooter in her building nearby. 3 years since I ran for my life to get away from campus. 3 years of PTSD.,2022-04-30 15:35:07+00:00,[]
